DOLocationID,PULocationID,RatecodeID,VendorID,congestion_surcharge,extra,fare_amount,improvement_surcharge,mta_tax,passenger_count,payment_type,store_and_fwd_flag,tip_amount,tolls_amount,total_amount,tpep_dropoff_datetime,tpep_pickup_datetime,trip_distance,tpep_pickup_datetime_IST,tpep_dropoff_datetime_IST,TravelTime
164,164,1,2,2.5,0.5,4.0,0.3,0.5,2,2,N,0.0,0.0,7.8,2021-01-01 00:15:39,2021-01-01 00:12:07,.37,2021-01-01 12:42:07,2021-01-01 12:45:39,212
238,239,1,2,2.5,0.5,4.0,0.3,0.5,1,1,N,1.0,0.0,8.8,2021-01-01 00:53:27,2021-01-01 00:51:21,.69,2021-01-01 13:21:21,2021-01-01 13:23:27,126
263,90,1,2,2.5,0.5,10.5,0.3,0.5,1,1,N,3.58,0.0,17.88,2021-01-01 00:36:42,2021-01-01 00:26:59,2.79,2021-01-01 12:56:59,2021-01-01 13:06:42,583
166,238,1,2,0.0,0.5,4.5,0.3,0.5,1,2,N,0.0,0.0,5.8,2021-01-01 00:38:29,2021-01-01 00:36:08,.76,2021-01-01 13:06:08,2021-01-01 13:08:29,141
79,230,1,2,2.5,0.5,18.0,0.3,0.5,1,1,N,4.36,0.0,26.16,2021-01-01 00:53:48,2021-01-01 00:27:12,3.45,2021-01-01 12:57:12,2021-01-01 13:23:48,1596
264,264,1,2,0.0,0.5,22.5,0.3,0.5,5,2,N,0.0,0.0,23.8,2021-01-01 01:02:57,2021-01-01 00:42:14,7.04,2021-01-01 13:12:14,2021-01-01 13:32:57,1243
41,143,1,1,2.5,3.0,11.5,0.3,0.5,1,2,Y,0.0,0.0,15.3,2021-01-01 01:10:48,2021-01-01 00:59:35,3.3,2021-01-01 13:29:35,2021-01-01 13:40:48,673
227,164,1,1,2.5,3.0,34.0,0.3,0.5,2,4,N,0.0,0.0,37.8,2021-01-01 00:45:44,2021-01-01 00:16:58,11.1,2021-01-01 12:46:58,2021-01-01 13:15:44,1726
113,90,1,2,2.5,0.5,5.5,0.3,0.5,1,1,N,2.79,0.0,12.09,2021-01-01 00:52:02,2021-01-01 00:47:05,.94,2021-01-01 13:17:05,2021-01-01 13:22:02,297
166,143,1,1,2.5,3.0,11.5,0.3,0.5,3,2,N,0.0,0.0,15.3,2021-01-01 00:23:46,2021-01-01 00:09:30,2.3,2021-01-01 12:39:30,2021-01-01 12:53:46,856
90,48,1,2,2.5,0.5,8.5,0.3,0.5,1,2,N,0.0,0.0,12.3,2021-01-01 00:23:22,2021-01-01 00:14:44,1.85,2021-01-01 12:44:44,2021-01-01 12:53:22,518
41,43,1,2,0.0,0.5,7.0,0.3,0.5,2,2,N,0.0,0.0,8.3,2021-01-01 01:00:21,2021-01-01 00:54:11,1.28,2021-01-01 13:24:11,2021-01-01 13:30:21,370
79,113,1,2,2.5,0.5,8.0,0.3,0.5,1,1,N,3.54,0.0,15.34,2021-01-01 00:42:37,2021-01-01 00:33:18,1.46,2021-01-01 13:03:18,2021-01-01 13:12:37,559
233,262,1,1,2.5,3.0,9.5,0.3,0.5,1,1,N,2.2,0.0,15.5,2021-01-01 00:44:16,2021-01-01 00:35:26,2.2,2021-01-01 13:05:26,2021-01-01 13:14:16,530
226,48,1,1,2.5,3.0,20.0,0.3,0.5,1,2,N,0.0,0.0,23.8,2021-01-01 01:16:33,2021-01-01 00:54:24,5.4,2021-01-01 13:24:24,2021-01-01 13:46:33,1329
148,107,1,2,2.5,0.5,6.0,0.3,0.5,1,2,N,0.0,0.0,9.8,2021-01-01 00:22:37,2021-01-01 00:17:31,1.06,2021-01-01 12:47:31,2021-01-01 12:52:37,306
13,100,5,2,2.5,0.0,25.0,0.3,0.0,1,1,N,0.0,0.0,27.8,2021-01-01 00:26:24,2021-01-01 00:09:50,4.18,2021-01-01 12:39:50,2021-01-01 12:56:24,994
236,262,1,2,2.5,0.5,5.0,0.3,0.5,1,2,N,0.0,0.0,8.8,2021-01-01 00:26:25,2021-01-01 00:22:01,.69,2021-01-01 12:52:01,2021-01-01 12:56:25,264
162,237,1,2,2.5,0.5,4.5,0.3,0.5,1,2,N,0.0,0.0,8.3,2021-01-01 00:45:02,2021-01-01 00:41:47,.77,2021-01-01 13:11:47,2021-01-01 13:15:02,195
262,230,1,2,2.5,0.5,12.5,0.3,0.5,1,2,N,0.0,0.0,16.3,2021-01-01 00:47:49,2021-01-01 00:32:43,2.62,2021-01-01 13:02:43,2021-01-01 13:17:49,906
162,113,1,1,2.5,3.0,10.5,0.3,0.5,2,2,N,0.0,0.0,14.3,2021-01-01 00:50:37,2021-01-01 00:41:17,2.8,2021-01-01 13:11:17,2021-01-01 13:20:37,560
75,113,1,1,2.5,3.0,16.0,0.3,0.5,2,1,N,2.97,0.0,22.77,2021-01-01 00:56:22,2021-01-01 00:41:19,5.1,2021-01-01 13:11:19,2021-01-01 13:26:22,903
261,249,1,2,2.5,0.5,9.5,0.3,0.5,1,1,N,2.0,0.0,15.3,2021-01-01 00:14:37,2021-01-01 00:05:50,2.62,2021-01-01 12:35:50,2021-01-01 12:44:37,527
107,48,1,1,2.5,3.0,9.5,0.3,0.5,1,2,N,0.0,0.0,13.3,2021-01-01 00:26:34,2021-01-01 00:16:43,2.4,2021-01-01 12:46:43,2021-01-01 12:56:34,591
61,48,1,2,2.5,0.5,38.0,0.3,0.5,1,1,N,8.36,0.0,50.16,2021-01-01 01:07:41,2021-01-01 00:27:48,12.01,2021-01-01 12:57:48,2021-01-01 13:37:41,2393
186,68,1,1,2.5,3.0,4.5,0.3,0.5,1,4,N,0.0,0.0,8.3,2021-01-01 00:14:20,2021-01-01 00:06:20,.50,2021-01-01 12:36:20,2021-01-01 12:44:20,480
87,164,1,1,2.5,3.0,13.5,0.3,0.5,2,1,Y,4.3,0.0,21.6,2021-01-01 00:20:09,2021-01-01 00:06:23,3.7,2021-01-01 12:36:23,2021-01-01 12:50:09,826
230,100,1,2,2.5,0.5,11.0,0.3,0.5,1,2,N,0.0,0.0,14.8,2021-01-01 00:42:11,2021-01-01 00:24:21,.81,2021-01-01 12:54:21,2021-01-01 13:12:11,1070
170,164,1,2,2.5,0.5,3.5,0.3,0.5,2,1,N,1.46,0.0,8.76,2021-01-01 00:31:58,2021-01-01 00:29:38,.25,2021-01-01 12:59:38,2021-01-01 13:01:58,140
